code,disclosure_year,report_year,file_name,sentence_id,AI_sentence,matched_keywords,total_sentences_in_report,classified
1,2023,2022,000001_2023_2022年年度报告.pdf,24,在零售，我们运用大数据、AI能力，打造“智能化银行3.0”，构建真正以客户为中心、数据驱动的经营体系，为大众客群提供更加专业、精准、有温度的金融服务,"AI,智能化,数据驱动",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,27,在对公，我们通过科技化能力持续升级供应链金融，一是不断提升对公服务的线上化、智能化水平，让数据多跑路，让企业少跑路,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,88,9平安银行股份有限公司第一章公司简介2022年年度报告1.3发展战略及核心竞争力1.3.1本行发展战略本行以“中国最卓越、全球领先的智能化零售银行”为战略目标，坚持“科技引领、零售突破、对公做精”十二字策略方针，持续深化战略转型，着力打造“数字银行、生态银行、平台银行”三张名片，持续升级零售、对公、资金同业业务经营策略，深化全面数字化经营，重塑资产负债经营,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,95,数据能力以数据驱动业务价值最大化为目标，以数据资产化管理提升基础数据管理水平，以数据中台建设提升数据服务水平，打造领先数据能力，为业务发展和经营管理提供强大的数据引擎,数据驱动,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,98,构建平台化数据能力，打造数据中台，强化数据服务能力，实现数据赋能，以数据驱动经营管理，实现“三预”（预防、预警、预测）、“三先”（先知、先觉、先行）、“三提”（提效益、提效率、提产能）、“三降”（降成本、降风险、降人力）,数据驱动,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,106,强化领先技术应用，深化物联网、区块链、人工智能、大数据等技术在金融领域的创新应用，推动经营管理数字化、智能化升级,"人工智能,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,110,（2）零售突破本行深入推进零售业务转型升级，全面贯彻以开放银行、AI银行、远程银行、线下银行、综合化银行相互衔接并有机融合的零售转型新模式，不断强化科技引领，推动商业模式变革，打造零售“智能化银行3.0”1，积极践行金融服务实体经济、服务普惠民生的初心使命，为零售业务持续发展注入新动能,"AI,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,114,打造零售转型新模式，进阶“智能化银行3.0”——本行以客户为中心、以数据为驱动，对零售业务发展战略及经营策略的组合创新和升级，打造零售转型新模式,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,115,新模式包含开放银行、AI银行、远程银行、线下银行和综合化银行五个要素，要素之间相互衔接、融合，构成有机整体,AI,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,117,随身银行即“AI+T+Offline”（AI银行+远程银行+线下银行），是零售业务发展的经营链和服务网，1本行将零售转型划分为三个阶段，其中2016年末至2018年末为智能化银行1.0阶段，奠定了零售业务全面数字化的基础,"AI,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,118,2019年初至2020年末为智能化银行2.0阶段，以AIBank及开放银行建设作为战略重点，开启了全面数字化的进程,"AI,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,119,自2021年以来本行提出零售转型新模式，积极引领商业模式变革，开启了智能化银行3.0的新发展阶段,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,122,本行结合新模式的发展要求，搭建科学的客群划分机制以及由总部“AI大脑”决策引擎驱动的智慧经营体系，推动更精准的客户需求洞察、更适配的产品服务供给以及更智能的运营触达，实现对客户全生命周期的精细化、智能化经营，全面进阶“智能化银行3.0”,"AI,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,123,“智能化银行3.0”致力于实现以下目标：一是重塑客户经营模式，通过智能化、数据化的经营方式，让客户服务更专业、更精准，大幅提升客户满意度,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,125,三是实现社会价值与商业价值的统一，通过低门槛、广覆盖、智能化的服务手段，将财富级服务提供给大众客户，提升普惠金融的广度、深度以及人民群众的金融获得感、幸福感,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,132,利用“星云物联网平台”及海量数据优势，借助线上化、模型化、自动化等科技手段，不断创新迭代供应链金融服务能力,自动化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,150,AI银行以报价机器人、算法引擎打造一站式做市业务“生产线”，更高效地服务机构客户，巩固FICC（固定收益、外汇和大宗商品）业务的同业领先地位,"AI,算法,机器人",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,156,1.3.2本行核心竞争力发展战略科学清晰本行积极贯彻落实党的二十大精神，坚持以人民为中心的发展理念，顺应时代趋势，发挥自身优势，坚持“科技引领、零售突破、对公做精”十二字策略方针，持续深化战略转型，着力打造“数字银行、生态银行、平台银行”三张名片，零售业务着力打造零售转型新模式，对公业务着力布局“两大赛道”，资金同业业务着力打响“五张金色名片”，全面深化数字化经营，致力于打造“中国最卓越、全球领先的智能化零售银行”,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,160,科技赋能零售业务，通过打造零售转型新模式，为客户提供全生命旅程的陪伴式服务，并依托AI客户经理实现低成本、高精准地触达和激活客户，将私行财富级的服务覆盖到更多的大众客群，持续提升本行零售金融服务能力,AI,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,166,2022年2月，在2021年度第八届“金松奖”金融科技行业评选中，本行“智能反诈机器人”荣获“最佳金融科技安全奖”,机器人,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,379,44平安银行股份有限公司第三章管理层讨论与分析2022年年度报告3.3主要业务讨论与分析3.3.1零售深化转型发展2022年，本行积极践行金融服务实体经济、服务普惠民生的初心使命，充分发挥综合金融和科技赋能优势，持续深入贯彻以开放银行、AI银行、远程银行、线下银行、综合化银行相互衔接并有机融合的零售转型新模式，打造“智能化银行3.0”，零售各项业务稳健发展，业务规模取得进一步突破,"AI,智能化",2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,400,三是通过强化人机协同赋能队伍经营，让理财经理的展业和服务更加专业化、智能化、个性化，切实提升客户财富健康度,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,406,通过全面贯彻以客户为中心的经营理念，深入推进“智能化银行3.0”建设,智能化,2335,I
1,2023,2022,000001_2023_2022年年度报告.pdf,407,同时，持续推动综合经营、协同发展，强化全渠道综合化获客及全场景智能化经营,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,421,口袋银行升级方面，本行升级平安口袋银行APP智能化平台布局，打造数字化经营的主门户,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,425,三是推动智能化模式升级，结合获客、留存、激活、转化到复购传播的不同阶段形成精细化的经营策略，全面提升客户全生命周期的服务体验,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,446,智能化服务方面，强化数据驱动，提升客户体验及经营效益,"智能化,数据驱动",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,447,一是依托信用卡A+新核心系统能力建设，助力智能化新模式突破，2022年创新“惠花惠赚”“额度融合”“实时复额”等新服务模式,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,448,"二是优化智能语音中台，驱动智能化运营，2022年末，本行智能语音中台已渗透到1,425个业务场景，全年外呼规模5.93亿通，同比增长118.0%",智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,449,三是持续升级“AI+T”智能多媒体交互矩阵，促动多渠道服务融合，构建一站式、全场景、线上化、智能化的多元服务形态与服务能力,"AI,智能化",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,455,三是加强存量客户经营，借助“AI+T+Offline”随身银行模式多渠道、全方位激活存量客户，提升客户服务水平,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,476,零售转型新模式是本行以客户为中心、以数据驱动为内核，通过科技手段将最优质的产品和服务惠及最广大客群的发展模式,数据驱动,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,477,2022年，本行启动打造“智能化银行3.0”，着力推动新模式加快落地，对零售业务发展的驱动作用持续增强,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,485,50平安银行股份有限公司第三章管理层讨论与分析2022年年度报告随身银行“AI+T+Offline”是新模式的核心服务矩阵，是零售业务发展的经营链和服务网,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,487,通过推动口袋银行APP等AI化平台、专业化的远程团队、零售新门店三大服务渠道的无缝衔接与融合，打造“随身银行”，以随时、随心、随享，专人、专业、专属的形式，将最适配、陪伴式的金融服务提供给每一位客户，优化新市民金融服务,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,488,"2022年末，“AI+T+Offline”模式已为超4,900万客户提供服务，同比增长约50%",AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,491,AI银行本行全面升级AI平台能力,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,492,在交互形式上，依托数字化、智能化技术打造虚拟专属顾问形象，通过虚拟数字人新颖自然的角色形象和亲切的语音播报动作引导等，提供可视化的、“有人情味”的陪伴式服务体验,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,494,"2022年末，AI客户经理累计上线超1,790个场景，全年月均服务客户较2021年月均水平增长49.9%",AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,496,远程银行本行构建智能化、一体化、人机协同的远程银行，及时、“有温度”地触达和服务客户,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,497,"2022年，本行依托人工智能（AI）、大数据能力提升客群服务半径，为超3,700万基础大众客户9提供远程银行服务","人工智能,AI",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,498,同时，通过构建综合化经营平台，在新客陪伴服务、线上财富管理、AI智能服务、本地化特色服务等远程场景中优化服务流程，提升用户体验，持续提升本行客户服务的广度与深度,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,540,一是加强数字供应链金融，通过“星云物联网平台”及海量多维数据，创新融资模式，有效解决银企信息不对称痛点，以“数字信用”补充抵质押信用，为处于产业链末端的中小微企业提供线上化、模型化、自动化金融服务，帮助中小微企业解决融资难、融资贵问题,自动化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,549,同时，本行运用互联网、云计算、区块链、人工智能等技术，持续优化升级供应链金融平台“平安好链”，为核心企业及其上游中小微客群提供线上供应链金融平台业务，涵盖应收账款确认及转让、融资、结算、风险管理等服务，实现供应链业务的智能化、数字化经营,"人工智能,智能化,云计算",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,581,同时充分发挥科技创新能力，通过场景化、数字化、智能化运营，打造“保险云平台”，赋能客户经营，打通线上获客新渠道，实现互联网保险的创新突破，2022年，银行推保险规模26.96亿元,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,588,持续精进电子化交易技术，迭代优化定价模型和曲线构建，并运用到新的交易品种上，不断研发和投产新的算法交易策略，将“人机结合”交易模式的优势应用于交易全流程实时风险管控，并敏捷运用交易工具和对冲策略平衡市场单边波动带来的风险，实现风险可测、可控、可承受,算法,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,596,同时，本行积极参与市场基础设施建设，相继推出基于外汇交易中心“iDeal客户端”的智能报价机器人和X-SWAP平台“专属报价”服务，不断提升自动化交易能力和报价效率，优化机构客户交易体验，并持续探索通过前沿技术、创新工具助力市场整体流动性和效率提升,"自动化,机器人",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,629,六是深化科技赋能，加强大数据、AI等技术在业务场景中的应用，获得《银行家》评选的“十佳智能风控创新奖”和“十佳数字财富管理创新奖”、《21世纪经济报道》评选的“金融机构数字化转型领航者”、国际数据管理协会评选的“最佳实践奖”等多个奖项,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,632,3.3.4科技赋能数字化经营本行以“科技引领”作为战略转型的驱动力，聚焦降本、增效、提质，以经营数据化、服务线上化、流程自动化、决策智能化、前中后台一体化为着力点，全面深化金融科技应用，赋能数字化经营取得显著成果,"智能化,自动化",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,636,运用AI、BI（商业智能）、大数据等领先技术，深度理解客户需求，提供“用户+场景”的一站式金融服务，并以“三预、三先、三提和三降”为目标，推动前、中、后台决策精准、资源优配、运营高效和价值提升,AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,638,服务营销零售业务以客户为中心、以数据驱动为内核，打造“有温度”、卓越的零售金融服务能力,数据驱动,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,639,"智能化经营方面，本行全面构建“AI大脑”智慧经营体系，打造“智能化银行3.0”，并推动AB测试机制10在业务策略领域的全面应用，2022年末，已沉淀超5,000个客户特征标签，超100个大数据模型，10AB测试机制（ABTest）是以用户需求为起点，将多套方案通过随机选择具有相似性的用户进行对比测试，精准测度客户反馈，推动最优方案上线的一套技术方案","AI,智能化,数据模型",2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,640,59平安银行股份有限公司第三章管理层讨论与分析2022年年度报告逐步建立起以宫格矩阵为核心的客户分析画像，并利用超300个产品营销及触达等策略，赋能“随身银行”服务模式，加强对客户全生命周期的精细化、智能化经营,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,641,智能化建设方面，“随身银行”智能中台远程坐席全面升级，通过整合工作台、客户端等模块，并升级智能多媒体交互矩阵，实现全渠道无缝协同，为客户提供“有温度”的一站式专业服务,智能化,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,642,"2022年，“AI+T+Offline”模式上线超4,000个应用场景，为超4,900万客户提供服务，其中超360万客户首次体验本行投资理财服务，同比增长约90%",AI,2335,
1,2023,2022,000001_2023_2022年年度报告.pdf,643,智能化队伍管理方面，完善“三好五星”客户经理团队评价体系，将经营动作标准化、流程化、智能化,智能化,2335,
